0,4
1,3
2,2
3,5
4,2
5,66
6,1057
7,11159
8,1971
9,6713
10,3272
11,4380
12,2962
13,6179
14,738
15,893
16,883
17,672
18,205
19,7
20,642
21,268
22,284
23,463
24,75
25,14699
26,1318
27,575
28,12299
29,16216
30,3643
31,15103
32,11366
33,5918
34,18572
35,9947
36,284
37,15
38,130
39,22
40,611
41,2205
42,15
43,2335
44,4679
45,232
46,3378
47,3236
48,10715
49,7775
50,3555
51,938
52,3086
53,232
54,888
55,231
56,29
57,31
58,587
59,256
60,25
61,1481
62,55
63,417
64,3178
65,2591
66,3537
67,3411
68,3316
69,4312
70,47
71,141
72,5608
73,348
74,100
75,2945
76,416
77,626
78,2604
79,2277
80,48
81,2609
82,113
83,5926
84,2118
85,94
86,524
87,443
88,264
89,50
90,643
91,154
92,1033
93,3375
94,446
95,2397
96,526
97,3892
98,1813
99,2366
100,372
101,524
102,228
103,36
104,5
105,7
106,258
107,43
108,133
109,25
110,10
111,41
112,46
113,16
114,27
115,11
116,0
117,1614
118,1341
119,2276
120,694
121,3390
122,2479
123,1166
124,348
125,428
126,898
127,1377
128,1202
129,523
130,244
131,1688
132,74
133,188
134,6742
135,3037
136,4929
137,319
138,9628
139,90
140,5994
141,13364
142,733
143,5186
144,5142
145,403
146,194
147,801
148,8268
149,5567
150,6169
151,5638
152,8387
153,4586
154,127
155,174
156,79
157,761
158,2135
159,419
160,1719
161,4800
162,1583
163,217
164,2986
165,773
166,715
167,1408
168,6
169,47
170,0
171,8
172,6
173,5
174,26
175,147
176,340
177,16
178,419
179,78
180,17
181,171
182,145
183,1
184,100
185,691
186,5
187,55
188,6
189,4
190,7
191,27
192,1
